,File,Frequency,lines_modified
0,KafkaETLContext.java,17,730
9,DataGenerator.java,11,376
13,KafkaOutputFormat.java,14,643
16,ConsumerConnector.java,17,489
19,Consumer.java,51,973
23,Producer.java,37,814
24,SimpleConsumerDemo.java,16,441
30,KafkaMigrationTool.java,20,2121
31,Crc32.java,14,6366
35,KafkaProducer.java,218,4765
36,MockProducer.java,50,1058
38,ProducerConfig.java,119,2036
39,ProducerRecord.java,18,447
41,BufferPool.java,27,774
42,Metadata.java,66,2096
44,RecordAccumulator.java,106,3677
45,RecordBatch.java,39,962
46,Sender.java,144,5341
47,ProducerPerformance.java,40,1050
49,Cluster.java,37,947
54,Node.java,16,330
59,AbstractConfig.java,59,1070
60,ConfigDef.java,72,2814
75,JmxReporter.java,25,758
80,Metrics.java,39,1037
84,Sensor.java,35,844
88,Histogram.java,12,506
93,Rate.java,17,350
98,NetworkReceive.java,13,332
102,Selector.java,97,3963
104,ApiKeys.java,116,1861
105,Errors.java,116,2316
106,ProtoUtils.java,14,398
107,Protocol.java,75,5770
109,Field.java,20,375
110,Schema.java,26,2757
112,Struct.java,52,1208
113,Type.java,29,1370
114,CompressionType.java,23,595
117,MemoryRecords.java,69,2972
118,Record.java,29,2054
120,RequestHeader.java,25,684
128,Utils.java,121,2593
129,SelectorTest.java,62,2176
130,BufferPoolTest.java,33,956
131,MetadataTest.java,52,2505
132,MockProducerTest.java,31,1356
133,RecordAccumulatorTest.java,75,3093
135,SenderTest.java,133,7362
136,ConfigDefTest.java,35,966
138,MetricsTest.java,44,1717
139,HistogramTest.java,11,420
140,ProtocolSerializationTest.java,22,617
141,MemoryRecordsTest.java,43,2561
144,MockTime.java,18,354
147,MockSelector.java,24,451
148,TestUtils.java,68,1491
149,RecordMetadata.java,17,355
154,MetadataRequest.java,33,779
155,MetadataResponse.java,54,2764
158,ProduceResponse.java,42,1403
162,Compressor.java,15,846
164,ConsumerConfig.java,96,1452
166,ConsumerRecord.java,17,618
167,ConsumerRecords.java,16,511
168,KafkaConsumer.java,287,10142
169,MockConsumer.java,66,1508
171,ClientUtils.java,42,712
173,ClientRequest.java,20,385
175,ClusterConnectionStates.java,35,981
177,InFlightRequests.java,18,446
178,KafkaClient.java,25,412
179,NetworkClient.java,131,3869
181,ProduceRequest.java,43,1420
182,MockClient.java,81,1663
183,NetworkClientTest.java,75,2421
187,FetchRequest.java,53,2356
188,FetchResponse.java,58,2727
189,HeartbeatRequest.java,24,426
191,JoinGroupRequest.java,34,1038
192,JoinGroupResponse.java,31,778
193,ListOffsetRequest.java,34,1367
194,ListOffsetResponse.java,30,923
195,OffsetCommitRequest.java,30,1488
196,OffsetCommitResponse.java,33,656
197,OffsetFetchRequest.java,29,1065
198,OffsetFetchResponse.java,36,1201
